schema_name,table_name,description,irsa_dbms,irsa_pos,cntr
wise_allsky,wise_allsky_2band_p1ba_mch,WISE Post-Cryo Single Exposure (L1b)  Known SSO Possible Association List (<a href='http://wise2.ipac.caltech.edu/proj/roc/expsup/prelim/ssopal.README.html' target='doc'> Caution </a>),INFORMIX,y,346
wise_allsky,wise_allsky_2band_p1bl_lod,WISE Post-Cryo Single Exposure (L1b) Scan Inventory Table,INFORMIX,n,347
wise_allsky,wise_allsky_2band_p1bm_frm,WISE Post-Cryo Single Exposure (L1b) Image Inventory Table,INFORMIX,n,348
wise_allsky,wise_allsky_2band_p1bs_frm,WISE Post-Cryo Single Exposure (L1b) Frame Metadata Table,INFORMIX,y,349
wise_allsky,wise_allsky_2band_p1bs_psd,WISE Post-Cryo Single Exposure (L1b) Source Table,INFORMIX,y,350
wise_allsky,wise_allsky_3band_p1ba_mch,WISE 3-Band Cryo Known Solar System Object Possible Association List (<a href='http://wise2.ipac.caltech.edu/docs/release/allsky/expsup/ssopal.README.html' target='doc'> Caution </a>),INFORMIX,y,351
wise_allsky,wise_allsky_3band_p1bl_lod,WISE 3-Band Cryo Single Exposure (L1b) Scan Inventory Table,INFORMIX,n,352
wise_allsky,wise_allsky_3band_p1bm_frm,WISE 3-Band Cryo Single Exposure (L1b) Image Inventory Table,INFORMIX,n,353
wise_allsky,wise_allsky_3band_p1bs_frm,WISE 3-Band Cryo Single Exposure (L1b) Frame Metadata Table,INFORMIX,y,354
wise_allsky,wise_allsky_3band_p1bs_psd,WISE 3-Band Cryo Single Exposure (L1b) Source Table,INFORMIX,y,355
wise_allsky,wise_allsky_3band_p3al_lod,WISE 3-Band Cryo Atlas Inventory Table,INFORMIX,n,356
wise_allsky,wise_allsky_3band_p3am_cdd,WISE 3-Band Cryo Atlas Image Inventory Table,INFORMIX,n,357
wise_allsky,wise_allsky_3band_p3am_xrf,WISE 3-Band Cryo Frame Cross-Reference Table,INFORMIX,n,358
wise_allsky,wise_allsky_3band_p3as_cdd,WISE 3-Band Cryo Atlas Metadata Table,INFORMIX,y,359
wise_allsky,wise_allsky_3band_p3as_psd,WISE 3-Band Cryo Source Working Database (<a href='http://wise2.ipac.caltech.edu/docs/release/3band/expsup/wise_3band_wdb_README.html' target='doc'> Readme</a>),INFORMIX,y,360
wise_allsky,wise_allsky_4band_p1ba_mch,WISE All-Sky Known Solar System Object Possible Association List (<a href='http://wise2.ipac.caltech.edu/docs/release/allsky/expsup/ssopal.README.html' target='doc'> Caution </a>),INFORMIX,y,361
wise_allsky,wise_allsky_4band_p1bl_lod,WISE All-Sky Single Exposure (L1b) Scan Inventory Table,INFORMIX,n,362
wise_allsky,wise_allsky_4band_p1bm_frm,WISE All-Sky Single Exposure (L1b) Image Inventory Table,INFORMIX,n,363
wise_allsky,wise_allsky_4band_p1bs_frm,WISE All-Sky Single Exposure (L1b) Frame Metadata Table,INFORMIX,y,364
wise_allsky,wise_allsky_4band_p1bs_psd,WISE All-Sky Single Exposure (L1b) Source Table,INFORMIX,y,365
wise_allsky,wise_allsky_4band_p3al_lod,WISE All-Sky Atlas Inventory Table,INFORMIX,n,366
wise_allsky,wise_allsky_4band_p3am_cdd,WISE All-Sky Atlas Image Inventory Table,INFORMIX,n,367
wise_allsky,wise_allsky_4band_p3am_xrf,WISE All-Sky Frame Cross-Reference Table,INFORMIX,n,368
wise_allsky,wise_allsky_4band_p3as_cdd,WISE All-Sky Atlas Metadata Table,INFORMIX,y,369
wise_allsky,wise_allsky_4band_p3as_psd,WISE All-Sky Source Catalog,INFORMIX,y,370
wise_allsky,wise_allsky_4band_p3as_psr,WISE All-Sky Reject Table,INFORMIX,y,371
